schoolid	year	term	time	covid	after_covid	single_gender_sch	area_code	grade	male	female	pupil_teacher_ratio	dropout_rate	asp_enrollment	asp_participant	budget_revenue	settlement_revenue	budget_expense	settlement_expense	ppexp	korean_mean	korean_sd	math_mean	math_sd	english_mean	english_sd	schooltype	private	enrollment	zipcode	latitude	longitude	term_num	house_price	library	pop	library_per	divorce	priv_academy	fiscal_auto	fiscal_indep
S010000568	2019	spring	1	0	0	1	1	2	454	0	18	1	296	255	9415000000	12429221870	9415000000	12362056034	9372294	82	18	68	22	63	23	1	1	403	6183	37.50510788	127.0614166	1	1773.59	16	541854	2.95	1.5	4.2	55.8	54.4
S010000532	2019	spring	1	0	0	1	1	2	229	0	13	4	119	105	7181962000	10141540907	7181962000	10108302932	11486708	76	19	76	12	74	18	0	1	266	6350	37.48571777	127.0814362	1	1773.59	16	541854	2.95	1.5	4.2	55.8	54.4
S010000400	2019	spring	1	0	0	0	1	2	67	127	12	5	43	33	1891561000	3303772707	1891561000	3173247426	5044909	62	27	48	24	63	23	0	0	179	6003	37.53097153	127.0326462	1	1773.59	16	541854	2.95	1.5	4.2	55.8	54.4
S010000531	2019	spring	1	0	0	1	1	2	398	0	17	2	175	175	7777349000	11104821714	7777349000	10632220814	9134210	76	21	57	17	72	24	1	1	362	6338	37.49371338	127.0809097	1	1773.59	16	541854	2.95	1.5	4.2	55.8	54.4
S010000514	2019	spring	1	0	0	2	1	2	0	249	13	3	84	72	6228699000	7575241792	6228699000	7420963875	9842127	80	15	68	20	77	20	0	1	224	6264	37.48794174	127.0359268	1	1773.59	16	541854	2.95	1.5	4.2	55.8	54.4
S010000479	2019	spring	1	0	0	2	1	2	0	389	15	3	185	161	10704035000	11829809182	10704035000	11722433286	9461205	79	17	72	20	71	19	0	1	352	6277	37.49147415	127.0526123	1	1773.59	16	541854	2.95	1.5	4.2	55.8	54.4
S010000559	2019	spring	1	0	0	0	1	2	161	233	16	3	176	155	7581622000	11160685976	7581622000	10589447409	9248426	70	19	66	16	68	27	1	1	349	6000	37.52539825	127.0227356	1	1773.59	16	541854	2.95	1.5	4.2	55.8	54.4
S010000405	2019	spring	1	0	0	1	1	2	346	0	15	4	0	0	8909507000	9904312815	8909507000	9859300822	8938623	80	16	69	20	71	20	0	1	357	6278	37.49583435	127.0566788	1	1773.59	16	541854	2.95	1.5	4.2	55.8	54.4
S010000376	2019	spring	1	0	0	2	1	2	0	339	14	1	190	177	2931756000	4860745759	2931756000	4759502580	4171343	77	17	67	22	63	22	0	0	339	6324	37.48688889	127.065567	1	1773.59	16	541854	2.95	1.5	4.2	55.8	54.4
S010000375	2019	spring	1	0	0	1	1	2	386	0	14	3	76	76	1311209000	5572170702	1311209000	5447775511	4487459	63	24	51	26	57	29	0	0	321	6086	37.51756668	127.0560761	1	1773.59	16	541854	2.95	1.5	4.2	55.8	54.4
S010000459	2019	spring	1	0	0	0	1	2	62	109	12	1	443	268	6066726000	8194704471	6066726000	8099638550	13589998	74	22	41	19	62	24	0	1	185	6348	37.49031448	127.1023636	1	1773.59	16	541854	2.95	1.5	4.2	55.8	54.4
S010000548	2019	spring	1	0	0	0	1	2	89	162	12	3	48	48	9096766000	10396289219	9096766000	10083505330	12296958	57	22	62	23	61	24	0	1	259	6373	37.47132874	127.0999451	1	1773.59	16	541854	2.95	1.5	4.2	55.8	54.4
S010000495	2019	spring	1	0	0	1	1	2	256	0	12	3	313	250	8055906000	9172438454	8055906000	9067128012	10268548	76	15	70	14	76	19	0	1	315	6065	37.52018356	127.0433502	1	1773.59	16	541854	2.95	1.5	4.2	55.8	54.4
S010000373	2019	spring	1	0	0	0	1	2	85	109	11	4	64	59	966004000	3153356249	966004000	2882482660	4482866	64	23	51	20	48	29	0	0	204	6324	37.48495865	127.0594025	1	1773.59	16	541854	2.95	1.5	4.2	55.8	54.4
S010000542	2019	spring	1	0	0	0	1	2	71	100	9	6	59	57	1868226000	2605440849	1868226000	2456022850	4073007	66	23	49	25	55	29	0	0	164	6009	37.52799988	127.0437012	1	1773.59	16	541854	2.95	1.5	4.2	55.8	54.4
S010000534	2019	spring	1	0	0	0	1	2	133	186	15	2	100	92	8911709000	11234254520	8911709000	10593201048	10509128	72	19	58	20	71	18	0	1	302	6277	37.49190903	127.0521088	1	1773.59	16	541854	2.95	1.5	4.2	55.8	54.4
S010000538	2019	spring	1	0	0	2	1	2	0	299	16	3	118	118	8379820000	10930128693	8379820000	10708776730	10938485	73	14	65	15	66	24	0	1	308	6213	37.50182724	127.0469055	1	1773.59	16	541854	2.95	1.5	4.2	55.8	54.4
S010000400	2019	fall	2	0	0	0	1	2	67	127	12	5	43	33	1891561000	3303772707	1891561000	3173247426	5044909	58	29	45	27	59	27	0	0	179	6003	37.53097153	127.0326462	2	1886.25	16	544028	2.94	1.5	4.2	55.8	54.4
S010000559	2019	fall	2	0	0	0	1	2	161	233	16	3	176	155	7581622000	11160685976	7581622000	10589447409	9248426	65	22	61	17	64	28	1	1	349	6000	37.52539825	127.0227356	2	1886.25	16	544028	2.94	1.5	4.2	55.8	54.4
S010000548	2019	fall	2	0	0	0	1	2	89	162	12	3	48	48	9096766000	10396289219	9096766000	10083505330	12296958	57	22	51	25	61	24	0	1	259	6373	37.47132874	127.0999451	2	1886.25	16	544028	2.94	1.5	4.2	55.8	54.4
S010000568	2019	fall	2	0	0	1	1	2	454	0	18	1	296	255	9415000000	12429221870	9415000000	12362056034	9372294	67	25	73	24	57	24	1	1	403	6183	37.50510788	127.0614166	2	1886.25	16	544028	2.94	1.5	4.2	55.8	54.4
S010000542	2019	fall	2	0	0	0	1	2	71	100	9	6	59	57	1868226000	2605440849	1868226000	2456022850	4073007	56	24	49	26	52	29	0	0	164	6009	37.52799988	127.0437012	2	1886.25	16	544028	2.94	1.5	4.2	55.8	54.4
S010000531	2019	fall	2	0	0	1	1	2	398	0	17	2	175	175	7777349000	11104821714	7777349000	10632220814	9134210	76	21	57	19	67	26	1	1	362	6338	37.49371338	127.0809097	2	1886.25	16	544028	2.94	1.5	4.2	55.8	54.4
S010000375	2019	fall	2	0	0	1	1	2	386	0	14	3	76	76	1311209000	5572170702	1311209000	5447775511	4487459	58	27	52	24	44	29	0	0	321	6086	37.51756668	127.0560761	2	1886.25	16	544028	2.94	1.5	4.2	55.8	54.4
S010000538	2019	fall	2	0	0	2	1	2	0	299	16	3	118	118	8379820000	10930128693	8379820000	10708776730	10938485	71	17	64	14	63	25	0	1	308	6213	37.50182724	127.0469055	2	1886.25	16	544028	2.94	1.5	4.2	55.8	54.4
S010000534	2019	fall	2	0	0	0	1	2	133	186	15	2	100	92	8911709000	11234254520	8911709000	10593201048	10509128	66	18	58	22	67	18	0	1	302	6277	37.49190903	127.0521088	2	1886.25	16	544028	2.94	1.5	4.2	55.8	54.4
S010000532	2019	fall	2	0	0	1	1	2	229	0	13	4	119	105	7181962000	10141540907	7181962000	10108302932	11486708	70	23	75	12	70	18	0	1	266	6350	37.48571777	127.0814362	2	1886.25	16	544028	2.94	1.5	4.2	55.8	54.4
S010000376	2019	fall	2	0	0	2	1	2	0	339	14	1	190	177	2931756000	4860745759	2931756000	4759502580	4171343	68	19	64	27	57	23	0	0	339	6324	37.48688889	127.065567	2	1886.25	16	544028	2.94	1.5	4.2	55.8	54.4
S010000373	2019	fall	2	0	0	0	1	2	85	109	11	4	64	59	966004000	3153356249	966004000	2882482660	4482866	57	20	54	17	39	27	0	0	204	6324	37.48495865	127.0594025	2	1886.25	16	544028	2.94	1.5	4.2	55.8	54.4
S010000459	2019	fall	2	0	0	0	1	2	62	109	12	1	443	268	6066726000	8194704471	6066726000	8099638550	13589998	67	22	36	20	48	26	0	1	185	6348	37.49031448	127.1023636	2	1886.25	16	544028	2.94	1.5	4.2	55.8	54.4
S010000405	2019	fall	2	0	0	1	1	2	346	0	15	4	0	0	8909507000	9904312815	8909507000	9859300822	8938623	66	22	60	27	54	25	0	1	357	6278	37.49583435	127.0566788	2	1886.25	16	544028	2.94	1.5	4.2	55.8	54.4
S010000514	2019	fall	2	0	0	2	1	2	0	249	13	3	84	72	6228699000	7575241792	6228699000	7420963875	9842127	76	19	66	21	73	22	0	1	224	6264	37.48794174	127.0359268	2	1886.25	16	544028	2.94	1.5	4.2	55.8	54.4
S010000479	2019	fall	2	0	0	2	1	2	0	389	15	3	185	161	10704035000	11829809182	10704035000	11722433286	9461205	68	22	72	22	71	23	0	1	352	6277	37.49147415	127.0526123	2	1886.25	16	544028	2.94	1.5	4.2	55.8	54.4
S010000495	2019	fall	2	0	0	1	1	2	256	0	12	3	313	250	8055906000	9172438454	8055906000	9067128012	10268548	68	21	63	16	67	21	0	1	315	6065	37.52018356	127.0433502	2	1886.25	16	544028	2.94	1.5	4.2	55.8	54.4
S010000548	2020	spring	3	1	1	0	1	2	110	180	12	2	81	81	9009487000	19293035626	9009487000	9237850325	11678698	66	20	51	20	78	15	0	1	259	6373	37.47132874	127.0999451	1	2009.46	16	544804	2.94	1.3	4.4	53.6	52.3
S010000459	2020	spring	3	1	1	0	1	2	85	115	12	1	161	161	5056900000	6414336929	5056900000	6337913909	11177979	60	24	49	22	50	23	0	1	185	6348	37.49031448	127.1023636	1	2009.46	16	544804	2.94	1.3	4.4	53.6	52.3
S010000532	2020	spring	3	1	1	1	1	2	327	0	13	2	0	0	7386423000	8828181187	7386423000	8777011915	9996597	72	21	77	12	76	16	0	1	266	6350	37.48571777	127.0814362	1	2009.46	16	544804	2.94	1.3	4.4	53.6	52.3
S010000514	2020	spring	3	1	1	2	1	2	0	235	13	3	0	0	5619223000	6770347248	5619223000	6672153442	8980018	77	16	66	24	79	19	0	1	224	6264	37.48794174	127.0359268	1	2009.46	16	544804	2.94	1.3	4.4	53.6	52.3
S010000559	2020	spring	3	1	1	0	1	2	144	202	14	2	0	0	9099847000	9307316050	9099847000	8865812098	8285806	80	17	67	21	65	25	1	1	349	6000	37.52539825	127.0227356	1	2009.46	16	544804	2.94	1.3	4.4	53.6	52.3
S010000568	2020	spring	3	1	1	1	1	2	400	0	18	2	117	84	9776694000	9543716561	9776694000	9452643134	7531987	83	18	72	19	75	18	1	1	403	6183	37.50510788	127.0614166	1	2009.46	16	544804	2.94	1.3	4.4	53.6	52.3
S010000376	2020	spring	3	1	1	2	1	2	0	365	13	3	23	23	2989188000	4346767745	2989188000	4302627265	3947365	69	16	62	18	61	24	0	0	339	6324	37.48688889	127.065567	1	2009.46	16	544804	2.94	1.3	4.4	53.6	52.3
S010000405	2020	spring	3	1	1	1	1	2	382	0	14	3	0	0	8190814000	9495182443	8190814000	9348478189	8452512	78	15	70	18	75	18	0	1	357	6278	37.49583435	127.0566788	1	2009.46	16	544804	2.94	1.3	4.4	53.6	52.3
S010000375	2020	spring	3	1	1	1	1	2	373	0	15	2	0	0	1455415000	5466596067	1455415000	5279678534	4567196	62	23	52	23	52	27	0	0	321	6086	37.51756668	127.0560761	1	2009.46	16	544804	2.94	1.3	4.4	53.6	52.3
S010000542	2020	spring	3	1	1	0	1	2	68	98	9	4	0	0	1066721000	2436076505	1066721000	2336164874	4399557	58	29	53	26	49	28	0	0	164	6009	37.52799988	127.0437012	1	2009.46	16	544804	2.94	1.3	4.4	53.6	52.3
S010000531	2020	spring	3	1	1	1	1	2	360	0	16	3	0	0	7925918000	10109510086	7925918000	9312553679	8314780	67	24	69	19	70	23	1	1	362	6338	37.49371338	127.0809097	1	2009.46	16	544804	2.94	1.3	4.4	53.6	52.3
