schoolid	year	term	time	COVID-19	after_covid	single_gender_sch	area_code	grade	male	female	pupil_teacher_ratio	dropout_rate	asp_enrollment	asp_participant	settlement_revenue	settlement_expense	ppexp	Subjects	Score	schooltype	private	enrollment	zipcode	latitude	longitude	term_num	house_price	library	pop	library_per	divorce	priv_academy	fiscal_auto	fiscal_indep
S010000568	2019	spring	1	Before	0	1	1	2	454	0	18	1	296	255	12429221870	12362056034	9372294	Korean	82	1	1	403	6183	37.50510788	127.0614166	1	1773.59	16	541854	2.95	1.5	4.2	55.8	54.4
S010000532	2019	spring	1	Before	0	1	1	2	229	0	13	4	119	105	10141540907	10108302932	11486708	Korean	76	0	1	266	6350	37.48571777	127.0814362	1	1773.59	16	541854	2.95	1.5	4.2	55.8	54.4
S010000400	2019	spring	1	Before	0	0	1	2	67	127	12	5	43	33	3303772707	3173247426	5044909	Korean	62	0	0	179	6003	37.53097153	127.0326462	1	1773.59	16	541854	2.95	1.5	4.2	55.8	54.4
S010000531	2019	spring	1	Before	0	1	1	2	398	0	17	2	175	175	11104821714	10632220814	9134210	Korean	76	1	1	362	6338	37.49371338	127.0809097	1	1773.59	16	541854	2.95	1.5	4.2	55.8	54.4
S010000514	2019	spring	1	Before	0	2	1	2	0	249	13	3	84	72	7575241792	7420963875	9842127	Korean	80	0	1	224	6264	37.48794174	127.0359268	1	1773.59	16	541854	2.95	1.5	4.2	55.8	54.4
S010000479	2019	spring	1	Before	0	2	1	2	0	389	15	3	185	161	11829809182	11722433286	9461205	Korean	79	0	1	352	6277	37.49147415	127.0526123	1	1773.59	16	541854	2.95	1.5	4.2	55.8	54.4
S010000559	2019	spring	1	Before	0	0	1	2	161	233	16	3	176	155	11160685976	10589447409	9248426	Korean	70	1	1	349	6000	37.52539825	127.0227356	1	1773.59	16	541854	2.95	1.5	4.2	55.8	54.4
S010000405	2019	spring	1	Before	0	1	1	2	346	0	15	4	0	0	9904312815	9859300822	8938623	Korean	80	0	1	357	6278	37.49583435	127.0566788	1	1773.59	16	541854	2.95	1.5	4.2	55.8	54.4
S010000376	2019	spring	1	Before	0	2	1	2	0	339	14	1	190	177	4860745759	4759502580	4171343	Korean	77	0	0	339	6324	37.48688889	127.065567	1	1773.59	16	541854	2.95	1.5	4.2	55.8	54.4
S010000375	2019	spring	1	Before	0	1	1	2	386	0	14	3	76	76	5572170702	5447775511	4487459	Korean	63	0	0	321	6086	37.51756668	127.0560761	1	1773.59	16	541854	2.95	1.5	4.2	55.8	54.4
